profile_type,income,expenses,savings,loan_emi,income_variability,savings_rate,expense_ratio,debt_to_income,runway_months,financial_goal,goal_amount,goal_months,risk_level,recommendation_category
Consultant,127615.0,36661,330054,13592,9.52,60.6,28.7,10.7,10.6,Retirement Reserve,150000,6,Low,Stable Income
Self-employed person,42670.0,23493,168014,0,44.61,44.9,55.1,0.0,9.8,Business Expansion,75000,24,Medium,Highly Variable Income
Small business owner,29690.0,24251,183370,5282,63.26,0.5,81.7,17.8,10.1,Working Capital Buffer,100000,36,Medium,Highly Variable Income
Self-employed person,46587.0,16817,18592,13628,33.69,34.6,36.1,29.3,1.4,Home Downpayment,75000,18,Medium,Moderately Variable Income
Seasonal business owner,49633.0,37644,110824,15343,57.05,0.0,75.8,30.9,4.6,Retirement Reserve,75000,24,High,Financial Risk
Gig worker,33102.0,14687,17244,10155,21.72,25.0,44.4,30.7,1.6,Home Downpayment,150000,36,Medium,Stable Income
Shop owner,17159.0,21281,218174,5569,37.0,0.0,124.0,32.5,13.7,Home Downpayment,30000,24,High,Financial Risk
Consultant,108414.0,32694,78112,41283,19.92,31.8,30.2,38.1,3.5,Debt Repayment,50000,12,Low,Stable Income
Commission-based worker,56944.0,19054,98821,22494,27.69,27.0,33.5,39.5,8.0,Working Capital Buffer,250000,18,Low,Moderately Variable Income
Shop owner,41614.0,25640,12819,0,18.5,38.4,61.6,0.0,0.7,Home Downpayment,250000,18,High,Financial Risk
Daily wage worker,16869.0,10483,22262,2523,22.74,22.9,62.1,15.0,2.8,Business Expansion,50000,12,Medium,Moderately Variable Income
Commission-based worker,38086.0,21181,175660,4986,38.11,31.3,55.6,13.1,11.4,Retirement Reserve,250000,12,Low,Moderately Variable Income
Shop owner,39781.0,28724,255848,0,39.75,27.8,72.2,0.0,13.4,Business Expansion,30000,12,Medium,Highly Variable Income
Consultant,98952.0,33623,30134,14464,25.15,51.4,34.0,14.6,1.1,Business Expansion,100000,36,Medium,Moderately Variable Income
Shop owner,34291.0,21287,44724,12413,41.34,1.7,62.1,36.2,2.5,Working Capital Buffer,100000,24,Medium,Moderately Variable Income
Shop owner,21703.0,20779,216088,3056,21.67,0.0,95.7,14.1,14.6,Working Capital Buffer,100000,6,High,Financial Risk
Self-employed person,45643.0,18568,19357,15478,41.69,25.4,40.7,33.9,1.4,Debt Repayment,250000,12,High,Highly Variable Income
Self-employed person,19753.0,20460,42728,4502,34.82,0.0,103.6,22.8,2.8,Emergency Fund,500000,18,High,Financial Risk
Commission-based worker,23450.0,21109,61998,0,21.64,10.0,90.0,0.0,4.4,Debt Repayment,150000,36,Low,Stable Income
Freelancer,29445.0,19330,43945,9397,30.61,2.4,65.6,31.9,3.3,Working Capital Buffer,100000,6,Low,Moderately Variable Income
Freelancer,58668.0,25116,28645,7148,50.85,45.0,42.8,12.2,1.6,Child Education,30000,36,High,Highly Variable Income
Self-employed person,50970.0,21452,110062,9453,30.95,39.4,42.1,18.5,7.8,Working Capital Buffer,75000,12,Low,Moderately Variable Income
Freelancer,74928.0,22929,95805,24481,45.29,36.7,30.6,32.7,6.0,Retirement Reserve,500000,6,Medium,Highly Variable Income
Freelancer,52230.0,26677,47336,8530,28.98,32.6,51.1,16.3,2.4,Business Expansion,75000,12,Medium,Moderately Variable Income
Consultant,101171.0,40154,84943,0,23.46,60.3,39.7,0.0,3.1,Emergency Fund,150000,18,Low,Moderately Variable Income
Daily wage worker,16364.0,14410,15316,2059,29.92,0.0,88.1,12.6,1.5,Working Capital Buffer,500000,6,High,Financial Risk
Gig worker,22641.0,15281,16717,7748,26.47,0.0,67.5,34.2,1.5,Retirement Reserve,30000,6,High,Financial Risk
Consultant,71532.0,30940,262385,22514,10.52,25.3,43.3,31.5,12.1,Business Expansion,500000,24,Low,Stable Income
Small business owner,53821.0,24220,52104,18115,28.0,21.3,45.0,33.7,3.3,Child Education,500000,24,Low,Moderately Variable Income
Self-employed person,11432.0,28527,114653,4015,43.69,0.0,249.5,35.1,5.7,Working Capital Buffer,100000,36,High,Financial Risk
Consultant,105275.0,26551,111185,8917,17.66,66.3,25.2,8.5,5.1,Home Downpayment,500000,18,Low,Stable Income
Consultant,114939.0,38361,135323,0,31.09,66.6,33.4,0.0,5.1,Business Expansion,100000,12,Low,Moderately Variable Income
Daily wage worker,13015.0,9620,10891,0,61.41,26.1,73.9,0.0,1.4,Retirement Reserve,150000,18,High,Highly Variable Income
Commission-based worker,25621.0,26067,44776,0,78.58,0.0,101.7,0.0,2.6,Retirement Reserve,50000,12,High,Financial Risk
Gig worker,21520.0,15837,124127,0,29.58,26.4,73.6,0.0,10.6,Emergency Fund,30000,24,Low,Moderately Variable Income
Seasonal business owner,48746.0,37212,41457,6139,58.45,11.1,76.3,12.6,1.7,Child Education,250000,18,High,Highly Variable Income
Seasonal business owner,41692.0,28149,99308,4293,48.29,22.2,67.5,10.3,5.3,Child Education,50000,36,Medium,Highly Variable Income
Shop owner,38482.0,18508,39154,0,32.17,51.9,48.1,0.0,3.1,Emergency Fund,100000,36,Low,Moderately Variable Income
Daily wage worker,14181.0,13634,79411,3242,38.69,0.0,96.1,22.9,7.0,Business Expansion,75000,18,High,Financial Risk
Shop owner,50784.0,28420,23270,0,18.13,44.0,56.0,0.0,1.2,Business Expansion,50000,6,Medium,Stable Income
Commission-based worker,49183.0,23290,93533,0,33.7,52.6,47.4,0.0,5.9,Working Capital Buffer,50000,36,Low,Moderately Variable Income
Daily wage worker,20752.0,11020,6506,8007,21.67,8.3,53.1,38.6,0.7,Emergency Fund,500000,24,High,Financial Risk
Freelancer,23918.0,22861,11399,8518,80.09,0.0,95.6,35.6,0.8,Debt Repayment,50000,6,High,Financial Risk
Commission-based worker,32085.0,19971,147439,11209,39.0,2.8,62.2,34.9,10.4,Home Downpayment,75000,24,Low,Moderately Variable Income
Gig worker,13464.0,14767,99881,0,55.14,0.0,109.7,0.0,9.1,Retirement Reserve,250000,36,High,Financial Risk
Shop owner,33366.0,28509,28397,10107,33.42,0.0,85.4,30.3,1.5,Working Capital Buffer,100000,18,High,Financial Risk
Gig worker,10024.0,14730,13375,1537,34.97,0.0,147.0,15.3,1.2,Debt Repayment,50000,12,High,Financial Risk
Small business owner,33987.0,20710,48225,0,20.67,39.1,60.9,0.0,2.7,Debt Repayment,50000,18,Low,Stable Income
Freelancer,26770.0,24808,11973,10130,56.65,0.0,92.7,37.8,0.6,Business Expansion,30000,18,High,Financial Risk
Gig worker,25060.0,14385,7303,6668,34.67,16.0,57.4,26.6,0.6,Debt Repayment,30000,24,High,Financial Risk
Consultant,77368.0,39442,397770,12386,13.82,33.0,51.0,16.0,14.1,Retirement Reserve,500000,6,Low,Stable Income
Online seller,88621.0,38458,237701,0,21.19,56.6,43.4,0.0,9.4,Emergency Fund,250000,36,Low,Stable Income
Small business owner,55770.0,21790,68220,16167,23.02,31.9,39.1,29.0,4.0,Retirement Reserve,50000,12,Low,Moderately Variable Income
Small business owner,54491.0,23161,21506,9021,57.51,40.9,42.5,16.6,1.4,Debt Repayment,500000,6,High,Highly Variable Income
Commission-based worker,27724.0,18857,37426,0,45.75,32.0,68.0,0.0,2.4,Debt Repayment,150000,24,High,Highly Variable Income
Commission-based worker,36667.0,17472,10121,5022,32.0,38.7,47.7,13.7,0.7,Child Education,50000,6,High,Financial Risk
Online seller,60084.0,30716,233279,19125,50.86,17.0,51.1,31.8,9.1,Child Education,75000,6,Medium,Highly Variable Income
Daily wage worker,7551.0,12889,15381,1843,24.17,0.0,170.7,24.4,1.4,Home Downpayment,150000,36,High,Financial Risk
Consultant,93108.0,40048,120998,32757,16.08,21.8,43.0,35.2,4.1,Working Capital Buffer,100000,6,Low,Stable Income
Seasonal business owner,58840.0,33406,16414,0,70.34,43.2,56.8,0.0,0.7,Emergency Fund,50000,18,High,Financial Risk
Freelancer,36136.0,27048,64497,6175,43.05,8.1,74.8,17.1,3.4,Retirement Reserve,50000,36,Medium,Highly Variable Income
Self-employed person,51584.0,20653,59510,0,22.28,60.0,40.0,0.0,4.4,Retirement Reserve,150000,24,Low,Moderately Variable Income
Seasonal business owner,79908.0,31580,67520,22643,46.48,32.1,39.5,28.3,2.7,Retirement Reserve,30000,24,Medium,Moderately Variable Income
Shop owner,29135.0,22131,140828,9066,37.51,0.0,76.0,31.1,7.3,Child Education,500000,36,High,Financial Risk
Daily wage worker,14925.0,11531,88953,4268,36.62,0.0,77.3,28.6,8.9,Child Education,150000,6,High,Financial Risk
Self-employed person,67764.0,22525,10852,10976,24.47,50.6,33.2,16.2,0.7,Home Downpayment,50000,24,High,Financial Risk
Consultant,44855.0,26544,135862,0,28.29,40.8,59.2,0.0,6.2,Child Education,500000,24,Low,Moderately Variable Income
Shop owner,22263.0,19337,109177,0,18.81,13.1,86.9,0.0,7.0,Retirement Reserve,250000,6,Low,Stable Income
Shop owner,52023.0,20640,139868,13581,28.73,34.2,39.7,26.1,9.6,Home Downpayment,100000,36,Low,Moderately Variable Income
Daily wage worker,12916.0,15154,61665,1595,15.39,0.0,117.3,12.3,5.9,Emergency Fund,30000,12,High,Financial Risk
Gig worker,20058.0,18579,40984,6866,15.93,0.0,92.6,34.2,2.9,Working Capital Buffer,50000,12,High,Financial Risk
Gig worker,33678.0,12977,27709,0,52.57,61.5,38.5,0.0,2.5,Business Expansion,30000,6,High,Highly Variable Income
Self-employed person,41338.0,28044,284394,0,26.04,32.2,67.8,0.0,13.8,Retirement Reserve,30000,12,Low,Moderately Variable Income
Consultant,91534.0,27732,28060,0,30.79,69.7,30.3,0.0,1.3,Business Expansion,100000,36,Medium,Moderately Variable Income
Online seller,30587.0,23984,71066,7336,54.98,0.0,78.4,24.0,3.6,Debt Repayment,30000,36,High,Financial Risk
Small business owner,58558.0,20610,20336,5276,28.57,55.8,35.2,9.0,1.2,Child Education,100000,18,Medium,Moderately Variable Income
Consultant,65589.0,38015,83564,10388,21.25,26.2,58.0,15.8,2.9,Debt Repayment,75000,24,Low,Stable Income
Small business owner,26651.0,22852,13029,0,25.06,14.3,85.7,0.0,0.8,Child Education,250000,6,High,Financial Risk
Consultant,116220.0,36805,268158,0,9.78,68.3,31.7,0.0,8.4,Home Downpayment,250000,24,Low,Stable Income
Gig worker,19646.0,19866,168723,6194,42.8,0.0,101.1,31.5,11.8,Retirement Reserve,30000,18,High,Financial Risk
Shop owner,37658.0,19404,71338,0,36.04,48.5,51.5,0.0,4.3,Emergency Fund,30000,36,Low,Moderately Variable Income
Gig worker,34941.0,20601,21809,0,36.41,41.0,59.0,0.0,1.6,Child Education,100000,36,High,Highly Variable Income
Freelancer,70717.0,23539,82508,20191,37.51,38.2,33.3,28.6,4.8,Debt Repayment,150000,12,Medium,Highly Variable Income
Online seller,82037.0,30937,103842,22567,24.7,34.8,37.7,27.5,4.5,Debt Repayment,50000,24,Low,Moderately Variable Income
Shop owner,49888.0,18691,177754,10042,17.42,42.4,37.5,20.1,13.1,Working Capital Buffer,150000,18,Low,Stable Income
Consultant,96801.0,40877,22547,12334,27.85,45.0,42.2,12.7,0.8,Business Expansion,100000,12,High,Financial Risk
Small business owner,53579.0,25021,231377,0,47.12,53.3,46.7,0.0,13.5,Working Capital Buffer,500000,24,Medium,Highly Variable Income
Consultant,99809.0,42105,404840,15693,17.14,42.1,42.2,15.7,13.2,Working Capital Buffer,75000,36,Low,Stable Income
Small business owner,51049.0,21442,195838,0,39.11,58.0,42.0,0.0,10.7,Emergency Fund,100000,12,Medium,Highly Variable Income
Freelancer,90382.0,24382,90645,0,24.12,73.0,27.0,0.0,5.4,Business Expansion,150000,24,Low,Moderately Variable Income
Small business owner,25506.0,22136,41072,3761,15.17,0.0,86.8,14.7,2.5,Emergency Fund,75000,12,High,Financial Risk
Gig worker,21604.0,16488,64045,4965,24.64,0.7,76.3,23.0,5.6,Retirement Reserve,150000,18,Low,Moderately Variable Income
Small business owner,31815.0,20909,11306,6242,55.88,14.7,65.7,19.6,0.7,Business Expansion,150000,24,High,Financial Risk
Freelancer,34545.0,18715,9444,0,55.06,45.8,54.2,0.0,0.7,Home Downpayment,150000,24,High,Financial Risk
Gig worker,25196.0,16559,14954,0,44.34,34.3,65.7,0.0,1.1,Child Education,100000,6,High,Highly Variable Income
Gig worker,11944.0,16608,152391,955,24.17,0.0,139.0,8.0,10.7,Working Capital Buffer,500000,12,High,Financial Risk
Online seller,67812.0,33531,56564,15292,38.14,28.0,49.4,22.6,2.4,Home Downpayment,500000,36,High,Highly Variable Income
Gig worker,18371.0,17945,65236,0,56.3,2.3,97.7,0.0,4.5,Retirement Reserve,50000,24,Medium,Highly Variable Income
Small business owner,64808.0,35376,67582,0,15.43,45.4,54.6,0.0,2.9,Home Downpayment,250000,36,Low,Stable Income
Small business owner,29391.0,25346,59355,5991,24.53,0.0,86.2,20.4,3.6,Emergency Fund,150000,6,High,Financial Risk
Daily wage worker,13083.0,12085,87339,3449,38.92,0.0,92.4,26.4,9.7,Home Downpayment,50000,18,High,Financial Risk
Commission-based worker,47105.0,20021,140942,9648,52.77,37.0,42.5,20.5,9.9,Child Education,50000,24,Medium,Highly Variable Income
Seasonal business owner,54309.0,22511,12546,17237,75.05,26.8,41.4,31.7,0.6,Child Education,30000,36,High,Financial Risk
Gig worker,31778.0,14527,6196,9451,37.46,24.5,45.7,29.7,0.6,Retirement Reserve,100000,12,High,Financial Risk
Commission-based worker,20897.0,21450,70782,7062,32.04,0.0,102.6,33.8,4.4,Child Education,30000,24,High,Financial Risk
Gig worker,10703.0,19446,68348,3935,53.49,0.0,181.7,36.8,5.1,Working Capital Buffer,30000,6,High,Financial Risk
Small business owner,60685.0,18228,30653,0,46.1,70.0,30.0,0.0,2.0,Working Capital Buffer,150000,6,High,Highly Variable Income
Shop owner,29680.0,27856,56638,11435,21.33,0.0,93.9,38.5,3.0,Retirement Reserve,100000,36,High,Financial Risk
Daily wage worker,20962.0,13209,64100,7583,25.14,0.8,63.0,36.2,6.2,Debt Repayment,30000,6,Low,Moderately Variable Income
Freelancer,61187.0,25521,22481,0,42.06,58.3,41.7,0.0,1.1,Working Capital Buffer,250000,6,High,Highly Variable Income
Freelancer,36843.0,30817,219755,3865,35.1,5.9,83.6,10.5,10.8,Child Education,150000,18,Medium,Highly Variable Income
Online seller,93556.0,36586,58761,0,20.43,60.9,39.1,0.0,2.2,Retirement Reserve,250000,6,Low,Stable Income
Commission-based worker,58256.0,21722,165378,0,27.15,62.7,37.3,0.0,11.5,Business Expansion,30000,6,Low,Moderately Variable Income
Consultant,95466.0,28913,82105,10210,42.66,59.0,30.3,10.7,4.0,Business Expansion,50000,36,Low,Moderately Variable Income
Gig worker,22101.0,17091,8771,6814,42.58,0.0,77.3,30.8,0.6,Home Downpayment,150000,18,High,Financial Risk
Seasonal business owner,51124.0,24124,86978,7138,40.42,38.9,47.2,14.0,4.4,Emergency Fund,100000,12,Medium,Highly Variable Income
Commission-based worker,48362.0,15178,8954,13434,18.1,40.8,31.4,27.8,0.7,Emergency Fund,30000,6,High,Financial Risk
Commission-based worker,60093.0,23925,55038,8161,46.28,46.6,39.8,13.6,3.3,Home Downpayment,75000,24,Medium,Highly Variable Income
Seasonal business owner,102668.0,30473,28294,31064,42.07,40.1,29.7,30.3,1.2,Business Expansion,30000,6,High,Highly Variable Income
Shop owner,28111.0,15493,32507,8192,46.6,15.7,55.1,29.1,2.4,Home Downpayment,500000,36,High,Highly Variable Income
Online seller,26579.0,26612,215301,5094,28.05,0.0,100.1,19.2,10.1,Business Expansion,50000,6,High,Financial Risk
Seasonal business owner,124529.0,26575,98767,31729,30.48,53.2,21.3,25.5,4.4,Business Expansion,100000,12,Low,Moderately Variable Income
Seasonal business owner,26655.0,30105,54470,7914,69.03,0.0,112.9,29.7,2.4,Child Education,75000,36,High,Financial Risk
Shop owner,17138.0,20093,78883,4834,18.7,0.0,117.2,28.2,6.0,Child Education,150000,24,High,Financial Risk
Daily wage worker,17720.0,10160,91193,4593,20.95,16.7,57.3,25.9,10.7,Emergency Fund,500000,12,Low,Stable Income
Small business owner,45026.0,18477,21058,16013,34.68,23.4,41.0,35.6,1.4,Retirement Reserve,500000,18,Medium,Moderately Variable Income
Daily wage worker,11806.0,9746,58301,0,51.53,17.4,82.6,0.0,6.9,Home Downpayment,30000,6,Medium,Highly Variable Income
Freelancer,35294.0,16077,14648,5064,32.09,40.1,45.6,14.3,1.1,Home Downpayment,150000,6,High,Highly Variable Income
Seasonal business owner,79356.0,28283,154929,9591,62.94,52.3,35.6,12.1,6.8,Debt Repayment,50000,18,Medium,Highly Variable Income
Self-employed person,48111.0,24212,154421,12024,44.72,24.7,50.3,25.0,9.5,Business Expansion,500000,36,Medium,Highly Variable Income
Shop owner,41326.0,23913,12384,15462,12.05,4.7,57.9,37.4,0.7,Home Downpayment,500000,24,High,Financial Risk
Online seller,55596.0,29962,97190,14098,25.26,20.7,53.9,25.4,3.8,Business Expansion,150000,12,Low,Moderately Variable Income
Seasonal business owner,103740.0,19217,9487,21391,40.94,60.9,18.5,20.6,0.6,Debt Repayment,250000,12,High,Financial Risk
Online seller,50307.0,25322,152820,6587,37.12,36.6,50.3,13.1,8.5,Child Education,30000,24,Medium,Highly Variable Income
Freelancer,28439.0,19302,8721,7020,27.63,7.4,67.9,24.7,0.6,Home Downpayment,50000,12,High,Financial Risk
Shop owner,45518.0,24640,26643,6758,19.16,31.0,54.1,14.8,1.5,Retirement Reserve,50000,12,Medium,Stable Income
Commission-based worker,16797.0,20301,115608,3392,39.59,0.0,120.9,20.2,7.8,Debt Repayment,500000,6,High,Financial Risk
Self-employed person,29140.0,20437,106829,6956,41.19,6.0,70.1,23.9,6.8,Business Expansion,250000,6,Medium,Highly Variable Income
Small business owner,50364.0,32830,171825,0,62.9,34.8,65.2,0.0,8.0,Child Education,250000,36,Medium,Highly Variable Income
Gig worker,20797.0,21838,39103,4052,32.1,0.0,105.0,19.5,2.7,Working Capital Buffer,500000,24,High,Financial Risk
Consultant,90292.0,33008,16645,9767,17.57,52.6,36.6,10.8,0.7,Home Downpayment,75000,24,High,Financial Risk
Small business owner,29428.0,26447,100237,9864,33.84,0.0,89.9,33.5,4.4,Home Downpayment,250000,36,High,Financial Risk
Freelancer,53362.0,21218,10563,6685,47.94,47.7,39.8,12.5,0.6,Emergency Fund,500000,36,High,Financial Risk
Gig worker,20644.0,19647,10890,4608,33.08,0.0,95.2,22.3,0.8,Emergency Fund,100000,12,High,Financial Risk
Online seller,41506.0,34250,31658,0,21.08,17.5,82.5,0.0,1.2,Business Expansion,30000,6,Medium,Stable Income
Small business owner,23325.0,22120,9225,6659,42.31,0.0,94.8,28.5,0.6,Debt Repayment,500000,12,High,Financial Risk
Shop owner,49396.0,15756,34481,17717,25.65,32.2,31.9,35.9,2.7,Working Capital Buffer,100000,12,Medium,Moderately Variable Income
Online seller,37040.0,27355,111252,3558,29.51,16.5,73.9,9.6,4.9,Child Education,50000,12,Low,Moderately Variable Income
Seasonal business owner,73985.0,29826,17277,27747,58.38,22.2,40.3,37.5,0.8,Business Expansion,30000,18,High,Financial Risk
Freelancer,62686.0,18779,8089,0,61.38,70.0,30.0,0.0,0.5,Debt Repayment,50000,12,High,Financial Risk
Self-employed person,17700.0,22295,12798,0,27.56,0.0,126.0,0.0,0.9,Retirement Reserve,100000,12,High,Financial Risk
Freelancer,43640.0,29709,124076,16388,47.89,0.0,68.1,37.6,6.5,Working Capital Buffer,500000,12,High,Financial Risk
Online seller,83889.0,40136,42252,0,48.52,52.2,47.8,0.0,1.6,Working Capital Buffer,75000,6,High,Highly Variable Income
Self-employed person,45385.0,24567,152029,0,25.5,45.9,54.1,0.0,7.3,Debt Repayment,50000,24,Low,Moderately Variable Income
Seasonal business owner,25978.0,19700,9477,0,65.78,24.2,75.8,0.0,0.6,Working Capital Buffer,250000,12,High,Financial Risk
Freelancer,91075.0,22861,161954,14200,22.7,59.3,25.1,15.6,8.9,Debt Repayment,100000,36,Low,Moderately Variable Income
Shop owner,50753.0,25928,277826,18852,36.25,11.8,51.1,37.1,14.3,Debt Repayment,150000,18,Low,Moderately Variable Income
Freelancer,27583.0,27121,105410,0,54.28,1.7,98.3,0.0,5.1,Business Expansion,150000,36,Medium,Highly Variable Income
Seasonal business owner,47700.0,20311,48120,0,20.44,57.4,42.6,0.0,2.9,Business Expansion,75000,36,Low,Stable Income
Daily wage worker,15110.0,11733,5370,5672,49.89,0.0,77.7,37.5,0.6,Working Capital Buffer,500000,6,High,Financial Risk
Commission-based worker,25681.0,16081,35157,0,29.9,37.4,62.6,0.0,2.8,Retirement Reserve,150000,12,Medium,Moderately Variable Income
Online seller,69654.0,28234,258365,0,39.5,59.5,40.5,0.0,10.7,Home Downpayment,100000,24,Low,Moderately Variable Income
Small business owner,52360.0,21145,49592,10993,17.72,38.6,40.4,21.0,2.8,Business Expansion,500000,6,Low,Stable Income
Freelancer,71600.0,24690,146091,0,43.57,65.5,34.5,0.0,7.6,Retirement Reserve,100000,36,Medium,Highly Variable Income
Consultant,82959.0,36802,359039,0,15.82,55.6,44.4,0.0,11.5,Debt Repayment,75000,36,Low,Stable Income
Consultant,103315.0,26796,11694,22245,19.28,52.5,25.9,21.5,0.5,Child Education,150000,36,High,Financial Risk
Consultant,48721.0,40529,81271,5852,40.7,4.8,83.2,12.0,2.9,Retirement Reserve,75000,24,Medium,Moderately Variable Income
Small business owner,34034.0,26831,87762,10946,46.37,0.0,78.8,32.2,4.3,Business Expansion,75000,12,High,Financial Risk
Self-employed person,20947.0,23711,140651,3527,38.98,0.0,113.2,16.8,8.7,Retirement Reserve,75000,36,High,Financial Risk
Online seller,95280.0,31651,115980,32113,20.27,33.1,33.2,33.7,5.0,Business Expansion,75000,6,Low,Stable Income
Online seller,34399.0,33611,120275,2903,34.51,0.0,97.7,8.4,4.6,Business Expansion,75000,18,High,Financial Risk
Online seller,100277.0,36236,177078,25706,69.99,38.2,36.1,25.6,6.3,Retirement Reserve,250000,24,Medium,Highly Variable Income
Daily wage worker,15778.0,13327,92720,4382,47.53,0.0,84.5,27.8,8.4,Emergency Fund,250000,12,High,Financial Risk
Online seller,78197.0,24832,208369,14532,45.0,49.7,31.8,18.6,11.4,Debt Repayment,500000,18,Medium,Highly Variable Income
Consultant,37401.0,29035,154913,14850,50.58,0.0,77.6,39.7,6.8,Debt Repayment,500000,36,High,Financial Risk
Self-employed person,19667.0,21280,159529,5662,55.58,0.0,108.2,28.8,11.0,Retirement Reserve,100000,12,High,Financial Risk
Small business owner,20165.0,23429,54846,4615,52.33,0.0,116.2,22.9,3.1,Home Downpayment,500000,18,High,Financial Risk
Freelancer,28815.0,27327,32233,4208,44.89,0.0,94.8,14.6,1.8,Working Capital Buffer,30000,12,High,Financial Risk
Online seller,28380.0,33355,71222,6555,11.13,0.0,117.5,23.1,3.3,Retirement Reserve,75000,18,High,Financial Risk
Seasonal business owner,81869.0,37893,317260,0,40.49,53.7,46.3,0.0,12.2,Retirement Reserve,100000,18,Low,Moderately Variable Income
Seasonal business owner,82599.0,21418,109781,0,32.59,74.1,25.9,0.0,6.0,Debt Repayment,50000,6,Low,Moderately Variable Income
Seasonal business owner,48521.0,21092,10375,0,53.91,56.5,43.5,0.0,0.6,Debt Repayment,75000,18,High,Financial Risk
Shop owner,44117.0,22887,226351,6860,32.28,32.6,51.9,15.5,15.3,Working Capital Buffer,100000,6,Low,Moderately Variable Income
Online seller,52403.0,28524,118896,8333,53.33,29.7,54.4,15.9,6.2,Home Downpayment,50000,24,Medium,Highly Variable Income
Gig worker,18254.0,19233,36514,1834,19.0,0.0,105.4,10.0,2.8,Debt Repayment,500000,18,High,Financial Risk
Gig worker,27133.0,21700,138937,3420,30.5,7.4,80.0,12.6,9.4,Retirement Reserve,50000,24,Low,Moderately Variable Income
Commission-based worker,39652.0,21962,39295,0,17.48,44.6,55.4,0.0,2.6,Business Expansion,50000,36,Low,Stable Income
Freelancer,31642.0,23869,40253,9767,22.19,0.0,75.4,30.9,2.5,Home Downpayment,75000,36,High,Financial Risk
Seasonal business owner,45968.0,36475,19018,11759,63.35,0.0,79.3,25.6,0.8,Business Expansion,30000,6,High,Financial Risk
Shop owner,39406.0,23836,11348,0,13.89,39.5,60.5,0.0,0.7,Debt Repayment,100000,6,High,Financial Risk
Online seller,25770.0,36564,234964,0,54.43,0.0,141.9,0.0,9.5,Debt Repayment,100000,24,High,Financial Risk
Consultant,105612.0,32046,62265,0,11.62,69.7,30.3,0.0,2.8,Retirement Reserve,75000,12,Low,Stable Income
Shop owner,39763.0,25708,24345,0,64.04,35.3,64.7,0.0,1.4,Debt Repayment,500000,36,High,Highly Variable Income
Shop owner,29904.0,23165,71522,2822,26.42,13.1,77.5,9.4,4.6,Working Capital Buffer,75000,6,Low,Moderately Variable Income
Gig worker,13445.0,17138,36661,1896,62.76,0.0,127.5,14.1,3.0,Emergency Fund,50000,6,High,Financial Risk
Seasonal business owner,67464.0,29432,283054,9877,49.61,41.7,43.6,14.6,14.9,Business Expansion,250000,24,Medium,Highly Variable Income
Daily wage worker,23737.0,8565,16136,3469,39.97,49.3,36.1,14.6,2.2,Business Expansion,250000,12,Medium,Moderately Variable Income
Small business owner,63874.0,20430,73428,14704,44.0,45.0,32.0,23.0,4.4,Business Expansion,30000,12,Low,Moderately Variable Income
Small business owner,68190.0,29274,203033,16706,33.87,32.6,42.9,24.5,9.0,Business Expansion,500000,24,Low,Moderately Variable Income
Shop owner,40487.0,16555,19032,6434,37.7,43.2,40.9,15.9,1.4,Child Education,150000,36,High,Highly Variable Income
Small business owner,35640.0,27109,209401,7331,21.66,3.4,76.1,20.6,9.0,Business Expansion,50000,18,Low,Stable Income
Consultant,88910.0,32468,67720,12415,16.36,49.5,36.5,14.0,3.1,Home Downpayment,75000,18,Low,Stable Income
Commission-based worker,44890.0,18610,8726,11258,40.01,33.5,41.5,25.1,0.7,Working Capital Buffer,500000,12,High,Financial Risk
Small business owner,21591.0,27335,16377,4671,57.99,0.0,126.6,21.6,0.8,Debt Repayment,250000,6,High,Financial Risk
Small business owner,43957.0,28629,15958,9136,40.61,14.1,65.1,20.8,0.8,Working Capital Buffer,30000,18,High,Financial Risk
Self-employed person,53118.0,22784,136959,4981,42.82,47.7,42.9,9.4,9.3,Debt Repayment,100000,24,Low,Moderately Variable Income
Consultant,90467.0,44796,439011,8049,30.5,41.6,49.5,8.9,14.1,Debt Repayment,150000,6,Low,Moderately Variable Income
Shop owner,49421.0,24758,224719,0,50.93,49.9,50.1,0.0,13.6,Emergency Fund,30000,18,Medium,Highly Variable Income
Gig worker,33387.0,19008,15265,3864,14.85,31.5,56.9,11.6,1.2,Retirement Reserve,75000,24,Medium,Stable Income
Consultant,91462.0,38971,15996,26095,28.74,28.9,42.6,28.5,0.5,Working Capital Buffer,250000,24,High,Financial Risk
Small business owner,28518.0,23412,13620,0,23.79,17.9,82.1,0.0,0.9,Emergency Fund,75000,6,High,Financial Risk
Daily wage worker,15219.0,15216,35762,0,26.72,0.0,100.0,0.0,3.5,Working Capital Buffer,50000,12,Low,Moderately Variable Income
Small business owner,48469.0,30819,106437,0,50.22,36.4,63.6,0.0,5.3,Home Downpayment,150000,6,Medium,Highly Variable Income
Shop owner,28906.0,20819,110397,0,14.93,28.0,72.0,0.0,6.8,Working Capital Buffer,250000,12,Low,Stable Income
Shop owner,46141.0,21683,61275,5967,13.29,40.1,47.0,12.9,3.4,Working Capital Buffer,50000,12,Low,Stable Income
Freelancer,26632.0,29611,99741,0,87.29,0.0,111.2,0.0,5.1,Child Education,150000,12,High,Financial Risk
Online seller,83549.0,40729,133926,20020,46.6,27.3,48.7,24.0,4.9,Debt Repayment,250000,36,Medium,Highly Variable Income
